year,exporter,importer,hs6,trade_value
2018,THA,BHR,020714,1541979.7
2018,THA,BHR,160100,0.0
2018,THA,BHR,160232,498786.59
2018,THA,BHR,040210,0.0
2018,THA,BHR,190531,1784.46
2018,THA,BHR,200599,269930.4835
2018,THA,BHR,210390,945687.78
2018,THA,BHR,210690,1557727.7650000001
2018,THA,KWT,020714,4264527.49
2018,THA,KWT,160100,0.0
2018,THA,KWT,160232,53996.83
2018,THA,KWT,040210,0.0
2018,THA,KWT,190531,22685.09
2018,THA,KWT,200599,269930.4835
2018,THA,KWT,210390,779936.58
2018,THA,KWT,210690,1557727.7650000001
2018,THA,OMN,020714,2229250.25
2018,THA,OMN,160100,0.0
2018,THA,OMN,160232,284375.64
2018,THA,OMN,040210,0.0
2018,THA,OMN,190531,0.0
2018,THA,OMN,200599,269930.4835
2018,THA,OMN,210390,162094.76
2018,THA,OMN,210690,1557727.7650000001
2018,THA,QAT,020714,3422777.68
2018,THA,QAT,160100,0.0
2018,THA,QAT,160232,1850233.62
2018,THA,QAT,040210,0.0
2018,THA,QAT,190531,1270.95
2018,THA,QAT,200599,269930.4835
2018,THA,QAT,210390,482198.11
2018,THA,QAT,210690,1557727.7650000001
2018,THA,SAU,020714,0.0
2018,THA,SAU,160100,0.0
2018,THA,SAU,160232,498786.59
2018,THA,SAU,040210,0.0
2018,THA,SAU,190531,1784.46
2018,THA,SAU,200599,563842.15
2018,THA,SAU,210390,482198.11
2018,THA,SAU,210690,1557727.7650000001
2018,THA,ARE,020714,1885614.975
2018,THA,ARE,160100,0.0
2018,THA,ARE,160232,498786.59
2018,THA,ARE,040210,0.0
2018,THA,ARE,190531,1784.46
2018,THA,ARE,200599,269930.4835
2018,THA,ARE,210390,482198.11
2018,THA,ARE,210690,1557727.7650000001
2019,THA,BHR,020714,1885614.975
2019,THA,BHR,160100,0.0
2019,THA,BHR,160232,498786.59
2019,THA,BHR,040210,0.0
2019,THA,BHR,190531,1784.46
2019,THA,BHR,200599,269930.4835
2019,THA,BHR,210390,482198.11
2019,THA,BHR,210690,1557727.7650000001
2019,THA,KWT,020714,1885614.975
2019,THA,KWT,160100,0.0
2019,THA,KWT,160232,498786.59
2019,THA,KWT,040210,0.0
2019,THA,KWT,190531,1784.46
2019,THA,KWT,200599,269930.4835
2019,THA,KWT,210390,482198.11
2019,THA,KWT,210690,1557727.7650000001
2019,THA,OMN,020714,1885614.975
2019,THA,OMN,160100,0.0
2019,THA,OMN,160232,498786.59
2019,THA,OMN,040210,0.0
2019,THA,OMN,190531,1784.46
2019,THA,OMN,200599,269930.4835
2019,THA,OMN,210390,482198.11
2019,THA,OMN,210690,1557727.7650000001
2019,THA,QAT,020714,1885614.975
2019,THA,QAT,160100,0.0
2019,THA,QAT,160232,498786.59
2019,THA,QAT,040210,0.0
2019,THA,QAT,190531,1784.46
2019,THA,QAT,200599,269930.4835
2019,THA,QAT,210390,482198.11
2019,THA,QAT,210690,1557727.7650000001
2019,THA,SAU,020714,1885614.975
2019,THA,SAU,160100,0.0
2019,THA,SAU,160232,498786.59
2019,THA,SAU,040210,0.0
2019,THA,SAU,190531,1784.46
2019,THA,SAU,200599,269930.4835
2019,THA,SAU,210390,482198.11
2019,THA,SAU,210690,1557727.7650000001
2019,THA,ARE,020714,1885614.975
2019,THA,ARE,160100,0.0
2019,THA,ARE,160232,498786.59
2019,THA,ARE,040210,0.0
2019,THA,ARE,190531,1784.46
2019,THA,ARE,200599,269930.4835
2019,THA,ARE,210390,482198.11
2019,THA,ARE,210690,1557727.7650000001
2020,THA,BHR,020714,1885614.975
2020,THA,BHR,160100,0.0
2020,THA,BHR,160232,498786.59
2020,THA,BHR,040210,0.0
2020,THA,BHR,190531,1784.46
2020,THA,BHR,200599,269930.4835
2020,THA,BHR,210390,482198.11
2020,THA,BHR,210690,1557727.7650000001
2020,THA,KWT,020714,1885614.975
2020,THA,KWT,160100,0.0
2020,THA,KWT,160232,498786.59
2020,THA,KWT,040210,0.0
2020,THA,KWT,190531,1784.46
2020,THA,KWT,200599,269930.4835
2020,THA,KWT,210390,482198.11
2020,THA,KWT,210690,1557727.7650000001
2020,THA,OMN,020714,1885614.975
2020,THA,OMN,160100,0.0
2020,THA,OMN,160232,498786.59
2020,THA,OMN,040210,0.0
2020,THA,OMN,190531,1784.46
2020,THA,OMN,200599,269930.4835
2020,THA,OMN,210390,482198.11
2020,THA,OMN,210690,1557727.7650000001
2020,THA,QAT,020714,1465207.915
2020,THA,QAT,160100,0.0
2020,THA,QAT,160232,3681897.747
2020,THA,QAT,040210,0.0
2020,THA,QAT,190531,3375.282
2020,THA,QAT,200599,155824.0
2020,THA,QAT,210390,482198.11
2020,THA,QAT,210690,1683475.09
2020,THA,SAU,020714,1885614.975
2020,THA,SAU,160100,0.0
2020,THA,SAU,160232,498786.59
2020,THA,SAU,040210,0.0
2020,THA,SAU,190531,1784.46
2020,THA,SAU,200599,384036.967
2020,THA,SAU,210390,482198.11
2020,THA,SAU,210690,4970068.27
2020,THA,ARE,020714,1885614.975
2020,THA,ARE,160100,0.0
2020,THA,ARE,160232,498786.59
2020,THA,ARE,040210,875.14
2020,THA,ARE,190531,1784.46
2020,THA,ARE,200599,400069.078
2020,THA,ARE,210390,482198.11
2020,THA,ARE,210690,49563.302
2021,THA,BHR,020714,1885614.975
2021,THA,BHR,160100,93424.904
2021,THA,BHR,160232,498786.59
2021,THA,BHR,040210,943.788
2021,THA,BHR,190531,1784.46
2021,THA,BHR,200599,47410.203
2021,THA,BHR,210390,482198.11
2021,THA,BHR,210690,1431980.44
2021,THA,KWT,020714,1885614.975
2021,THA,KWT,160100,0.0
2021,THA,KWT,160232,498786.59
2021,THA,KWT,040210,0.0
2021,THA,KWT,190531,1784.46
2021,THA,KWT,200599,130853.689
2021,THA,KWT,210390,482198.11
2021,THA,KWT,210690,1557727.7650000001
2021,THA,OMN,020714,1885614.975
2021,THA,OMN,160100,0.0
2021,THA,OMN,160232,498786.59
2021,THA,OMN,040210,0.0
2021,THA,OMN,190531,1784.46
2021,THA,OMN,200599,269930.4835
2021,THA,OMN,210390,482198.11
2021,THA,OMN,210690,1557727.7650000001
2021,THA,QAT,020714,1885614.975
2021,THA,QAT,160100,0.0
2021,THA,QAT,160232,498786.59
2021,THA,QAT,040210,0.0
2021,THA,QAT,190531,1784.46
2021,THA,QAT,200599,269930.4835
2021,THA,QAT,210390,482198.11
2021,THA,QAT,210690,1557727.7650000001
2021,THA,SAU,020714,1885614.975
2021,THA,SAU,160100,0.0
2021,THA,SAU,160232,498786.59
2021,THA,SAU,040210,0.0
2021,THA,SAU,190531,1784.46
2021,THA,SAU,200599,269930.4835
2021,THA,SAU,210390,482198.11
2021,THA,SAU,210690,1557727.7650000001
2021,THA,ARE,020714,1885614.975
2021,THA,ARE,160100,0.0
2021,THA,ARE,160232,498786.59
2021,THA,ARE,040210,0.0
2021,THA,ARE,190531,1784.46
2021,THA,ARE,200599,269930.4835
2021,THA,ARE,210390,482198.11
2021,THA,ARE,210690,1557727.7650000001
2022,THA,BHR,020714,1885614.975
2022,THA,BHR,160100,0.0
2022,THA,BHR,160232,498786.59
2022,THA,BHR,040210,0.0
2022,THA,BHR,190531,1784.46
2022,THA,BHR,200599,269930.4835
2022,THA,BHR,210390,482198.11
2022,THA,BHR,210690,1557727.7650000001
2022,THA,KWT,020714,1885614.975
2022,THA,KWT,160100,0.0
2022,THA,KWT,160232,498786.59
2022,THA,KWT,040210,0.0
2022,THA,KWT,190531,1784.46
2022,THA,KWT,200599,269930.4835
2022,THA,KWT,210390,482198.11
2022,THA,KWT,210690,1557727.7650000001
2022,THA,OMN,020714,1885614.975
2022,THA,OMN,160100,0.0
2022,THA,OMN,160232,498786.59
2022,THA,OMN,040210,0.0
2022,THA,OMN,190531,1784.46
2022,THA,OMN,200599,269930.4835
2022,THA,OMN,210390,482198.11
2022,THA,OMN,210690,1557727.7650000001
2022,THA,QAT,020714,1885614.975
2022,THA,QAT,160100,0.0
2022,THA,QAT,160232,498786.59
2022,THA,QAT,040210,0.0
2022,THA,QAT,190531,1784.46
2022,THA,QAT,200599,269930.4835
2022,THA,QAT,210390,482198.11
2022,THA,QAT,210690,1557727.7650000001
2022,THA,SAU,020714,1885614.975
2022,THA,SAU,160100,0.0
2022,THA,SAU,160232,498786.59
2022,THA,SAU,040210,0.0
2022,THA,SAU,190531,1784.46
2022,THA,SAU,200599,269930.4835
2022,THA,SAU,210390,482198.11
2022,THA,SAU,210690,1557727.7650000001
2022,THA,ARE,020714,1885614.975
2022,THA,ARE,160100,0.0
2022,THA,ARE,160232,498786.59
2022,THA,ARE,040210,0.0
2022,THA,ARE,190531,1784.46
2022,THA,ARE,200599,269930.4835
2022,THA,ARE,210390,342.681
2022,THA,ARE,210690,1557727.7650000001
